n_evaluated_queries,nDCG@10,MRR@10,Recall@100,bm25,ann,fusion,ce
400,0.3688,0.4483,0.4899,"{'k1': 1.2, 'b': 0.75}",{'efSearch': 64},{'alpha': 0.4},{'top_for_ce': 20}
400,0.3688,0.4483,0.4899,"{'k1': 1.2, 'b': 0.75}",{'efSearch': 64},{'alpha': 0.5},{'top_for_ce': 20}
400,0.3688,0.4483,0.4899,"{'k1': 1.2, 'b': 0.75}",{'efSearch': 64},{'alpha': 0.6},{'top_for_ce': 20}
400,0.3688,0.4483,0.4899,"{'k1': 1.2, 'b': 0.75}",{'efSearch': 64},{'alpha': 0.7},{'top_for_ce': 20}
400,0.368,0.4469,0.4895,"{'k1': 1.2, 'b': 0.75}",{'efSearch': 128},{'alpha': 0.4},{'top_for_ce': 20}
400,0.368,0.4469,0.4895,"{'k1': 1.2, 'b': 0.75}",{'efSearch': 128},{'alpha': 0.5},{'top_for_ce': 20}
400,0.368,0.4469,0.4895,"{'k1': 1.2, 'b': 0.75}",{'efSearch': 128},{'alpha': 0.6},{'top_for_ce': 20}
400,0.368,0.4469,0.4895,"{'k1': 1.2, 'b': 0.75}",{'efSearch': 128},{'alpha': 0.7},{'top_for_ce': 20}
400,0.3661,0.4394,0.5945,"{'k1': 1.2, 'b': 0.75}",{'efSearch': 128},{'alpha': 0.4},{'top_for_ce': 50}
400,0.3661,0.4394,0.5945,"{'k1': 1.2, 'b': 0.75}",{'efSearch': 128},{'alpha': 0.5},{'top_for_ce': 50}
400,0.3661,0.4394,0.5945,"{'k1': 1.2, 'b': 0.75}",{'efSearch': 128},{'alpha': 0.6},{'top_for_ce': 50}
400,0.3661,0.4394,0.5945,"{'k1': 1.2, 'b': 0.75}",{'efSearch': 128},{'alpha': 0.7},{'top_for_ce': 50}
400,0.3645,0.4365,0.5937,"{'k1': 1.2, 'b': 0.75}",{'efSearch': 64},{'alpha': 0.4},{'top_for_ce': 50}
400,0.3645,0.4365,0.5937,"{'k1': 1.2, 'b': 0.75}",{'efSearch': 64},{'alpha': 0.5},{'top_for_ce': 50}
400,0.3645,0.4365,0.5937,"{'k1': 1.2, 'b': 0.75}",{'efSearch': 64},{'alpha': 0.6},{'top_for_ce': 50}
400,0.3645,0.4365,0.5937,"{'k1': 1.2, 'b': 0.75}",{'efSearch': 64},{'alpha': 0.7},{'top_for_ce': 50}
